2017-03-31 20:48:00,4.248
2017-03-31 20:54:00,4.239
2017-03-31 21:00:00,4.163
2017-03-31 21:06:00,4.047
2017-03-31 21:12:00,4.04
2017-03-31 21:18:00,3.859
2017-03-31 21:24:00,3.832
2017-03-31 21:30:00,3.8
2017-03-31 21:36:00,3.698
2017-03-31 21:42:00,3.625
2017-03-31 21:48:00,3.524
2017-03-31 21:54:00,3.409
2017-03-31 22:00:00,3.352
2017-03-31 22:06:00,3.245
2017-03-31 22:12:00,3.172
2017-03-31 22:18:00,3.077
2017-03-31 22:24:00,2.965
2017-03-31 22:30:00,2.858
2017-03-31 22:36:00,2.756
2017-03-31 22:42:00,2.666
2017-03-31 22:48:00,2.569
2017-03-31 22:54:00,2.506
2017-03-31 23:00:00,2.414
2017-03-31 23:06:00,2.317
2017-03-31 23:12:00,2.228
2017-03-31 23:18:00,2.159
2017-03-31 23:24:00,2.083
2017-03-31 23:30:00,1.965
2017-03-31 23:36:00,1.885
2017-03-31 23:42:00,1.799
2017-03-31 23:48:00,1.734
2017-03-31 23:54:00,1.731
