Model name,RMSE,MAE,Port name
BiLSTM,0.049524418220,0.034953381876,Ballycotton
BiGRU,0.042751768000,0.029179117000,Ballycotton
lightGBM,0.031375128000,0.021199587000,Ballycotton
CNN-BiGRU,0.037185279000,0.013599438000,Ballycotton
lightGBM+BiGRU,0.035787389000,0.023601590000,Ballycotton
lightGBM+CNN-BiGRU,0.025447486000,0.008720665000,Ballycotton
BiLSTM,0.031644063478,0.026885486325,Howth
BiGRU,0.027732661237,0.023946086829,Howth
lightGBM,0.019557332857,0.016318509946,Howth
CNN-BiGRU,0.017163135682,0.014819336805,Howth
lightGBM+BiGRU,0.026811182182,0.023121536477,Howth
lightGBM+CNN-BiGRU,0.011099314851,0.009030798694,Howth
BiLSTM,0.032248081400,0.026693676084,Ballyglass
BiGRU,0.031999129180,0.026159223432,Ballyglass
lightGBM,0.018502277220,0.015060243772,Ballyglass
CNN-BiGRU,0.007928877947,0.006165011685,Ballyglass
lightGBM+BiGRU,0.028508617987,0.024846721796,Ballyglass
lightGBM+CNN-BiGRU,0.006597516337,0.005132485993,Ballyglass
BiLSTM,0.033542879136,0.026667455165,Castletownbere
BiGRU,0.023994248644,0.019506118094,Castletownbere
lightGBM,0.022023546108,0.017719420950,Castletownbere
CNN-BiGRU,0.017292546643,0.013272603690,Castletownbere
lightGBM+BiGRU,0.020887749592,0.016871275314,Castletownbere
lightGBM+CNN-BiGRU,0.014143611796,0.010895519657,Castletownbere
BiLSTM,0.037231692855,0.031602722581,Galway
BiGRU,0.033490011131,0.028913097711,Galway
lightGBM,0.019167391897,0.015316180411,Galway
CNN-BiGRU,0.007884352183,0.006482369485,Galway
lightGBM+BiGRU,0.030804902972,0.026301854692,Galway
lightGBM+CNN-BiGRU,0.006605685372,0.005338712802,Galway
